"date","death","pm10tmean","pm10","season"
1987-10-07,238,NA,6.6659016393,"Fall"
1987-10-08,198,NA,NA,"Fall"
1987-10-09,214,NA,NA,"Fall"
1987-10-10,199,NA,NA,"Fall"
1987-10-11,201,NA,NA,"Fall"
1987-10-12,243,-13.8457905,NA,"Fall"
1987-10-13,212,NA,-13.8457905,"Fall"
1987-10-14,215,NA,NA,"Fall"
1987-10-15,208,NA,NA,"Fall"
1987-10-16,208,NA,NA,"Fall"
1987-10-17,225,NA,NA,"Fall"
1987-10-18,206,-2.470037974,NA,"Fall"
1987-10-19,229,NA,-2.470037974,"Fall"
1987-10-20,231,NA,NA,"Fall"
1987-10-21,215,NA,NA,"Fall"
1987-10-22,220,NA,NA,"Fall"
1987-10-23,185,NA,NA,"Fall"
1987-10-24,234,9.711025641,NA,"Fall"
1987-10-25,228,NA,9.711025641,"Fall"
1987-10-26,185,NA,NA,"Fall"
1987-10-27,248,NA,NA,"Fall"
1987-10-28,200,NA,NA,"Fall"
1987-10-29,202,NA,NA,"Fall"
1987-10-30,216,2.5730640501,NA,"Fall"
1987-10-31,222,NA,2.5730640501,"Fall"
1987-11-01,179,NA,NA,"Fall"
1987-11-02,219,NA,NA,"Fall"
1987-11-03,224,NA,NA,"Fall"
1987-11-04,218,NA,NA,"Fall"
1987-11-05,214,6.7685245902,NA,"Fall"
1987-11-06,215,NA,6.7685245902,"Fall"
1987-11-07,195,NA,NA,"Fall"
1987-11-08,201,NA,NA,"Fall"
1987-11-09,210,NA,NA,"Fall"
1987-11-10,234,NA,NA,"Fall"
1987-11-11,210,-16.53200364,NA,"Fall"
1987-11-12,225,NA,-16.53200364,"Fall"
1987-11-13,220,NA,NA,"Fall"
1987-11-14,216,NA,NA,"Fall"
1987-11-15,186,NA,NA,"Fall"
1987-11-16,206,NA,NA,"Fall"
1987-11-17,238,-0.349214481,NA,"Fall"
1987-11-18,201,NA,-0.349214481,"Fall"
1987-11-19,198,NA,NA,"Fall"
1987-11-20,199,NA,NA,"Fall"
1987-11-21,213,NA,NA,"Fall"
1987-11-22,202,NA,NA,"Fall"
1987-11-23,231,16.721311475,NA,"Fall"
1987-11-24,229,NA,16.721311475,"Fall"
1987-11-25,194,NA,NA,"Fall"
1987-11-26,238,NA,NA,"Fall"
1987-11-27,213,NA,NA,"Fall"
1987-11-28,213,NA,NA,"Fall"
1987-11-29,182,-13.35758197,NA,"Fall"
1987-11-30,216,NA,-13.35758197,"Fall"
1987-12-01,225,NA,NA,"Fall"
1987-12-02,196,NA,NA,"Fall"
1987-12-03,213,NA,NA,"Fall"
1987-12-04,205,NA,NA,"Fall"
1987-12-05,196,-14.45679355,NA,"Fall"
1987-12-06,197,NA,-14.45679355,"Fall"
1987-12-07,222,NA,NA,"Fall"
1987-12-08,227,NA,NA,"Fall"
1987-12-09,200,NA,NA,"Fall"
1987-12-10,246,NA,NA,"Fall"
1987-12-11,209,-6.888333333,NA,"Fall"
1987-12-12,192,NA,-6.888333333,"Fall"
1987-12-13,205,NA,NA,"Fall"
1987-12-14,237,NA,NA,"Fall"
1987-12-15,208,NA,NA,"Fall"
1987-12-16,210,NA,NA,"Fall"
1987-12-17,211,-24.33333333,NA,"Fall"
1987-12-18,222,NA,-24.33333333,"Fall"
1987-12-19,222,NA,NA,"Fall"
1987-12-20,222,NA,NA,"Fall"
1987-12-21,240,NA,NA,"Fall"
1987-12-22,214,NA,NA,"Fall"
1987-12-23,210,2.9706557377,NA,"Fall"
1987-12-24,231,NA,2.9706557377,"Fall"
1987-12-25,188,NA,NA,"Fall"
1987-12-26,239,NA,NA,"Fall"
1987-12-27,206,NA,NA,"Fall"
1987-12-28,214,NA,NA,"Fall"
1987-12-29,194,-6.278688525,NA,"Fall"
1987-12-30,211,NA,-6.278688525,"Fall"
1987-12-31,221,NA,NA,"Fall"
1988-01-01,225,NA,NA,"Winter"
1988-01-02,194,NA,NA,"Winter"
1988-01-03,204,NA,NA,"Winter"
1988-01-04,260,-1.278688525,NA,"Winter"
1988-01-05,229,NA,-1.278688525,"Winter"
1988-01-06,217,NA,NA,"Winter"
1988-01-07,231,NA,NA,"Winter"
1988-01-08,237,NA,NA,"Winter"
1988-01-09,237,NA,NA,"Winter"
1988-01-10,261,-2.969344262,NA,"Winter"
1988-01-11,254,NA,-2.969344262,"Winter"
1988-01-12,258,NA,NA,"Winter"
1988-01-13,258,NA,NA,"Winter"
1988-01-14,225,NA,NA,"Winter"
1988-01-15,221,NA,NA,"Winter"
1988-01-16,232,29.479299806,NA,"Winter"
1988-01-17,218,NA,29.479299806,"Winter"
1988-01-18,245,NA,NA,"Winter"
1988-01-19,214,NA,NA,"Winter"
1988-01-20,210,NA,NA,"Winter"
1988-01-21,223,NA,NA,"Winter"
1988-01-22,219,-8.097783572,NA,"Winter"
1988-01-23,206,NA,-8.097783572,"Winter"
1988-01-24,223,NA,NA,"Winter"
1988-01-25,206,NA,NA,"Winter"
1988-01-26,224,NA,NA,"Winter"
1988-01-27,191,NA,NA,"Winter"
1988-01-28,235,5.3013337038,NA,"Winter"
1988-01-29,221,NA,5.3013337038,"Winter"
1988-01-30,194,NA,NA,"Winter"
1988-01-31,193,NA,NA,"Winter"
1988-02-01,224,NA,NA,"Winter"
1988-02-02,230,NA,NA,"Winter"
1988-02-03,200,-14.6986663,NA,"Winter"
1988-02-04,202,NA,-14.6986663,"Winter"
1988-02-05,209,NA,NA,"Winter"
1988-02-06,244,NA,NA,"Winter"
1988-02-07,222,NA,NA,"Winter"
1988-02-08,237,NA,NA,"Winter"
1988-02-09,224,-1.516702753,NA,"Winter"
1988-02-10,229,NA,-1.516702753,"Winter"
1988-02-11,245,NA,NA,"Winter"
1988-02-12,215,NA,NA,"Winter"
1988-02-13,239,NA,NA,"Winter"
1988-02-14,212,NA,NA,"Winter"
1988-02-15,221,-2.118644068,NA,"Winter"
1988-02-16,239,NA,-2.118644068,"Winter"
1988-02-17,218,NA,NA,"Winter"
1988-02-18,238,NA,NA,"Winter"
1988-02-19,256,NA,NA,"Winter"
1988-02-20,219,NA,NA,"Winter"
1988-02-21,222,-23.08474576,NA,"Winter"
1988-02-22,256,NA,-23.08474576,"Winter"
1988-02-23,240,NA,NA,"Winter"
1988-02-24,221,NA,NA,"Winter"
1988-02-25,209,NA,NA,"Winter"
1988-02-26,208,NA,NA,"Winter"
1988-02-27,226,-15.02542373,NA,"Winter"
1988-02-28,227,NA,-15.02542373,"Winter"
1988-02-29,233,NA,NA,"Winter"
1988-03-01,246,NA,NA,"Winter"
1988-03-02,253,NA,NA,"Winter"
1988-03-03,244,NA,NA,"Winter"
1988-03-04,234,0.1104936556,NA,"Winter"
1988-03-05,221,NA,0.1104936556,"Winter"
1988-03-06,238,NA,NA,"Winter"
1988-03-07,242,NA,NA,"Winter"
1988-03-08,248,NA,NA,"Winter"
1988-03-09,217,NA,NA,"Winter"
1988-03-10,208,-15.19756356,NA,"Winter"
1988-03-11,242,NA,-15.19756356,"Winter"
1988-03-12,243,NA,NA,"Winter"
1988-03-13,234,NA,NA,"Winter"
1988-03-14,246,NA,NA,"Winter"
1988-03-15,232,NA,NA,"Winter"
1988-03-16,213,-9.425758698,NA,"Winter"
1988-03-17,252,NA,-9.425758698,"Winter"
1988-03-18,297,NA,NA,"Winter"
1988-03-19,245,NA,NA,"Winter"
1988-03-20,226,NA,NA,"Winter"
1988-03-21,209,NA,NA,"Winter"
1988-03-22,212,-11.51485945,NA,"Winter"
1988-03-23,249,NA,-11.51485945,"Winter"
1988-03-24,265,NA,NA,"Winter"
1988-03-25,218,NA,NA,"Winter"
1988-03-26,235,NA,NA,"Winter"
1988-03-27,213,NA,NA,"Winter"
1988-03-28,213,-15.43140842,NA,"Winter"
1988-03-29,214,NA,-15.43140842,"Winter"
1988-03-30,214,NA,NA,"Winter"
1988-03-31,191,NA,NA,"Winter"
1988-04-01,239,NA,NA,"Spring"
1988-04-02,217,NA,NA,"Spring"
1988-04-03,195,-5.006018443,NA,"Spring"
1988-04-04,223,NA,-5.006018443,"Spring"
1988-04-05,239,NA,NA,"Spring"
1988-04-06,213,NA,NA,"Spring"
1988-04-07,206,NA,NA,"Spring"
1988-04-08,199,NA,NA,"Spring"
1988-04-09,198,-22.64892254,NA,"Spring"
1988-04-10,214,NA,-22.64892254,"Spring"
1988-04-11,194,NA,NA,"Spring"
1988-04-12,189,NA,NA,"Spring"
1988-04-13,196,NA,NA,"Spring"
1988-04-14,192,NA,NA,"Spring"
1988-04-15,232,4.0662737513,NA,"Spring"
1988-04-16,224,NA,4.0662737513,"Spring"
1988-04-17,206,NA,NA,"Spring"
1988-04-18,213,NA,NA,"Spring"
1988-04-19,225,NA,NA,"Spring"
1988-04-20,236,NA,NA,"Spring"
1988-04-21,198,-3.585290786,NA,"Spring"
1988-04-22,204,NA,-3.585290786,"Spring"
1988-04-23,203,NA,NA,"Spring"
1988-04-24,224,NA,NA,"Spring"
1988-04-25,218,NA,NA,"Spring"
1988-04-26,214,NA,NA,"Spring"
1988-04-27,208,1.7213114754,NA,"Spring"
1988-04-28,176,NA,1.7213114754,"Spring"
1988-04-29,195,NA,NA,"Spring"
1988-04-30,217,NA,NA,"Spring"
1988-05-01,198,NA,NA,"Spring"
1988-05-02,216,NA,NA,"Spring"
1988-05-03,199,-1.661016949,NA,"Spring"
1988-05-04,223,NA,-1.661016949,"Spring"
1988-05-05,210,NA,NA,"Spring"
1988-05-06,193,NA,NA,"Spring"
1988-05-07,212,NA,NA,"Spring"
1988-05-08,185,NA,NA,"Spring"
1988-05-09,207,-7.233649039,NA,"Spring"
1988-05-10,211,NA,-7.233649039,"Spring"
1988-05-11,192,NA,NA,"Spring"
1988-05-12,196,NA,NA,"Spring"
1988-05-13,213,NA,NA,"Spring"
1988-05-14,212,NA,NA,"Spring"
1988-05-15,183,-14.86321343,NA,"Spring"
1988-05-16,192,NA,-14.86321343,"Spring"
1988-05-17,194,NA,NA,"Spring"
1988-05-18,199,NA,NA,"Spring"
1988-05-19,175,NA,NA,"Spring"
1988-05-20,185,NA,NA,"Spring"
1988-05-21,189,1.547042982,NA,"Spring"
1988-05-22,203,NA,1.547042982,"Spring"
1988-05-23,227,NA,NA,"Spring"
1988-05-24,222,NA,NA,"Spring"
1988-05-25,210,NA,NA,"Spring"
1988-05-26,180,NA,NA,"Spring"
1988-05-27,204,13.088140425,NA,"Spring"
1988-05-28,198,NA,13.088140425,"Spring"
1988-05-29,197,NA,NA,"Spring"
1988-05-30,202,NA,NA,"Spring"
1988-05-31,196,NA,NA,"Spring"
1988-06-01,211,NA,NA,"Spring"
1988-06-02,191,-12.21327104,NA,"Spring"
1988-06-03,192,NA,-12.21327104,"Spring"
1988-06-04,172,NA,NA,"Spring"
1988-06-05,206,NA,NA,"Spring"
1988-06-06,209,NA,NA,"Spring"
1988-06-07,185,NA,NA,"Spring"
1988-06-08,189,-6.176469355,NA,"Spring"
1988-06-09,171,NA,-6.176469355,"Spring"
1988-06-10,177,NA,NA,"Spring"
1988-06-11,180,NA,NA,"Spring"
1988-06-12,199,NA,NA,"Spring"
1988-06-13,216,NA,NA,"Spring"
1988-06-14,195,42.168938836,NA,"Spring"
1988-06-15,213,NA,42.168938836,"Spring"
1988-06-16,226,NA,NA,"Spring"
1988-06-17,200,NA,NA,"Spring"
1988-06-18,190,NA,NA,"Spring"
1988-06-19,182,NA,NA,"Spring"
1988-06-20,209,36.79245283,NA,"Spring"
1988-06-21,201,NA,36.79245283,"Spring"
1988-06-22,210,NA,NA,"Spring"
1988-06-23,225,NA,NA,"Spring"
1988-06-24,186,NA,NA,"Spring"
1988-06-25,203,NA,NA,"Spring"
1988-06-26,162,-4.710144928,NA,"Spring"
1988-06-27,171,NA,-4.710144928,"Spring"
1988-06-28,179,NA,NA,"Spring"
1988-06-29,194,NA,NA,"Spring"
1988-06-30,164,NA,NA,"Spring"
1988-07-01,179,NA,NA,"Summer"
1988-07-02,179,-25.36170213,NA,"Summer"
1988-07-03,178,NA,-25.36170213,"Summer"
1988-07-04,204,NA,NA,"Summer"
1988-07-05,193,NA,NA,"Summer"
1988-07-06,181,NA,NA,"Summer"
1988-07-07,208,NA,NA,"Summer"
1988-07-08,199,47.638297872,NA,"Summer"
1988-07-09,173,NA,47.638297872,"Summer"
1988-07-10,201,NA,NA,"Summer"
1988-07-11,219,NA,NA,"Summer"
1988-07-12,204,NA,NA,"Summer"
1988-07-13,188,NA,NA,"Summer"
1988-07-14,196,34.157625786,NA,"Summer"
1988-07-15,204,NA,34.157625786,"Summer"
1988-07-16,205,NA,NA,"Summer"
1988-07-17,191,NA,NA,"Summer"
1988-07-18,200,NA,NA,"Summer"
1988-07-19,223,NA,NA,"Summer"
1988-07-20,200,13.648809524,NA,"Summer"
1988-07-21,182,NA,13.648809524,"Summer"
1988-07-22,200,NA,NA,"Summer"
1988-07-23,192,NA,NA,"Summer"
1988-07-24,188,NA,NA,"Summer"
1988-07-25,192,NA,NA,"Summer"
1988-07-26,186,29.36,NA,"Summer"
1988-07-27,189,NA,29.36,"Summer"
1988-07-28,204,NA,NA,"Summer"
1988-07-29,185,NA,NA,"Summer"
1988-07-30,194,NA,NA,"Summer"
1988-07-31,224,NA,NA,"Summer"
1988-08-01,224,28.29245283,NA,"Summer"
1988-08-02,209,NA,28.29245283,"Summer"
1988-08-03,206,NA,NA,"Summer"
1988-08-04,198,NA,NA,"Summer"
1988-08-05,212,NA,NA,"Summer"
1988-08-06,201,NA,NA,"Summer"
1988-08-07,175,-3.697387518,NA,"Summer"
1988-08-08,215,NA,-3.697387518,"Summer"
1988-08-09,193,NA,NA,"Summer"
1988-08-10,207,NA,NA,"Summer"
1988-08-11,183,NA,NA,"Summer"
1988-08-12,210,NA,NA,"Summer"
1988-08-13,255,45.830345912,NA,"Summer"
1988-08-14,248,NA,45.830345912,"Summer"
1988-08-15,296,NA,NA,"Summer"
1988-08-16,223,NA,NA,"Summer"
1988-08-17,218,NA,NA,"Summer"
1988-08-18,209,NA,NA,"Summer"
1988-08-19,205,-4.266666667,NA,"Summer"
1988-08-20,229,NA,-4.266666667,"Summer"
1988-08-21,188,NA,NA,"Summer"
1988-08-22,187,NA,NA,"Summer"
1988-08-23,181,NA,NA,"Summer"
1988-08-24,210,NA,NA,"Summer"
1988-08-25,201,12.950673401,NA,"Summer"
1988-08-26,204,NA,12.950673401,"Summer"
1988-08-27,194,NA,NA,"Summer"
1988-08-28,200,NA,NA,"Summer"
1988-08-29,213,NA,NA,"Summer"
1988-08-30,190,NA,NA,"Summer"
1988-08-31,208,-4.836792453,NA,"Summer"
1988-09-01,190,NA,-4.836792453,"Summer"
1988-09-02,176,NA,NA,"Summer"
1988-09-03,193,NA,NA,"Summer"
1988-09-04,190,NA,NA,"Summer"
1988-09-05,176,NA,NA,"Summer"
1988-09-06,176,-15.79732704,NA,"Summer"
1988-09-07,203,NA,-15.79732704,"Summer"
1988-09-08,215,NA,NA,"Summer"
1988-09-09,204,NA,NA,"Summer"
1988-09-10,222,NA,NA,"Summer"
1988-09-11,175,NA,NA,"Summer"
1988-09-12,200,-3.133333333,NA,"Summer"
1988-09-13,218,NA,-3.133333333,"Summer"
1988-09-14,182,NA,NA,"Summer"
1988-09-15,204,NA,NA,"Summer"
1988-09-16,177,NA,NA,"Summer"
1988-09-17,157,NA,NA,"Summer"
1988-09-18,176,1.462962963,NA,"Summer"
